Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown,Mode,Years,Trial,Label
0.029436322266499726,0.036444425095535936,0.807704393452083,-0.08862165561728884,optimal,3,1,optimal_3Y
0.03348988029245614,0.030747803087105372,1.0891796138274576,-0.032700796838876105,optimal,3,2,optimal_3Y
0.03927482321550224,0.030282862579907723,1.2969323197854012,-0.04743304669579781,optimal,3,3,optimal_3Y
0.011238109813916486,0.02753412316693473,0.40815208625971955,-0.062094709356443886,optimal,3,4,optimal_3Y
0.00030618772471302513,0.03957504644328137,0.007736888575780974,-0.09641638828064034,optimal,3,5,optimal_3Y
-0.009611713670054645,0.24632160235465939,-0.03902099360418857,-0.4558247171063392,equal,3,1,equal_3Y
0.04493045638314408,0.08947094468905595,0.5021793000989734,-0.15036593790060296,equal,3,2,equal_3Y
0.06320094028246981,0.07738380370449965,0.8167205184667712,-0.1273865046422809,equal,3,3,equal_3Y
0.06684120804343019,0.16536913827321853,0.40419396715363487,-0.2774207623424625,equal,3,4,equal_3Y
0.022179780936955495,0.11790144617050455,0.18812136455798809,-0.2188313475237743,equal,3,5,equal_3Y
0.17034010766151297,0.08108629904512042,2.1007261358263167,-0.08048012676786585,historical,3,1,historical_3Y
0.09709984303009533,0.12384605549637864,0.7840366222478083,-0.1590142946949433,historical,3,2,historical_3Y
0.06491865341740333,0.09101844645281694,0.7132472146847344,-0.13621764871086398,historical,3,3,historical_3Y
0.06066844923526804,0.07810117279911839,0.7767930629071536,-0.12745944619896676,historical,3,4,historical_3Y
0.09723223738122222,0.15661889768508416,0.6208205958436028,-0.27742076234246205,historical,3,5,historical_3Y
0.02551696213933652,0.029582226637331725,0.862577467618175,-0.08862165561728884,optimal,5,1,optimal_5Y
0.03414741572816404,0.03185797164455097,1.071864088183551,-0.04844931538995183,optimal,5,2,optimal_5Y
0.040861767749107214,0.02886001642141335,1.415860862739804,-0.04743304669579781,optimal,5,3,optimal_5Y
0.011704044429287075,0.034554608065948685,0.3387115376030165,-0.09756193838361457,optimal,5,4,optimal_5Y
-0.0036728874221216845,0.03943714428042729,-0.09313269226607118,-0.09641638828064034,optimal,5,5,optimal_5Y
0.019392443561350392,0.21463337078354142,0.0903514839773343,-0.4558247171063392,equal,5,1,equal_5Y
0.05259435826326664,0.08631965828061865,0.6092975726605216,-0.15036593790060296,equal,5,2,equal_5Y
0.10134125191895182,0.1290550803529539,0.7852558120284201,-0.27742076234246216,equal,5,3,equal_5Y
0.05908902383079018,0.1494000128073634,0.395508827077409,-0.2774207623424625,equal,5,4,equal_5Y
0.01568045514008065,0.11726193272804514,0.13372161600343818,-0.2188313475237743,equal,5,5,equal_5Y
0.12554853913941866,0.09486872219876687,1.3233923281518656,-0.19551447198851174,historical,5,1,historical_5Y
0.14483452769813754,0.1280751406531913,1.1308558941217812,-0.16498957585078067,historical,5,2,historical_5Y
0.09077057810977918,0.10696099579258424,0.8486325079265243,-0.13621764871086445,historical,5,3,historical_5Y
0.05032000184751362,0.08708177464303353,0.5778476845905571,-0.13621764871086275,historical,5,4,historical_5Y
0.09732834605650487,0.12964685116889368,0.7507189351611261,-0.2774207623424623,historical,5,5,historical_5Y
