Date,Open,High,Low,Close,Adj Close,Volume
1998-05-21,10.050000,10.050000,10.050000,10.050000,5.257475,0
1998-05-22,9.970000,9.970000,9.970000,9.970000,5.215624,0
1998-05-26,9.810000,9.810000,9.810000,9.810000,5.131923,0
1998-05-27,9.690000,9.690000,9.690000,9.690000,5.069148,0
1998-05-28,9.820000,9.820000,9.820000,9.820000,5.137153,0
1998-05-29,9.840000,9.840000,9.840000,9.840000,5.147615,0
1998-06-01,9.760000,9.760000,9.760000,9.760000,5.105767,0
1998-06-02,9.740000,9.740000,9.740000,9.740000,5.095303,0
1998-06-03,9.720000,9.720000,9.720000,9.720000,5.084842,0
1998-06-04,9.810000,9.810000,9.810000,9.810000,5.131923,0
1998-06-05,9.840000,9.840000,9.840000,9.840000,5.147615,0
1998-06-08,9.850000,9.850000,9.850000,9.850000,5.152848,0
1998-06-09,9.820000,9.820000,9.820000,9.820000,5.137153,0
1998-06-10,9.690000,9.690000,9.690000,9.690000,5.069148,0
1998-06-11,9.570000,9.570000,9.570000,9.570000,5.006372,0
1998-06-12,9.520000,9.520000,9.520000,9.520000,4.980214,0
1998-06-15,9.340000,9.340000,9.340000,9.340000,4.886050,0
1998-06-16,9.440000,9.440000,9.440000,9.440000,4.938365,0
1998-06-17,9.560000,9.560000,9.560000,9.560000,5.001141,0
1998-06-18,9.470000,9.470000,9.470000,9.470000,4.954060,0
1998-06-19,9.440000,9.440000,9.440000,9.440000,4.938365,0
1998-06-22,9.510000,9.510000,9.510000,9.510000,4.974982,0
1998-06-23,9.620000,9.620000,9.620000,9.620000,5.032530,0
1998-06-24,9.710000,9.710000,9.710000,9.710000,5.079611,0
1998-06-25,9.710000,9.710000,9.710000,9.710000,5.079611,0
1998-06-26,9.770000,9.770000,9.770000,9.770000,5.110999,0
1998-06-29,9.810000,9.810000,9.810000,9.810000,5.131923,0
1998-06-30,9.840000,9.840000,9.840000,9.840000,5.147615,0
1998-07-01,9.920000,9.920000,9.920000,9.920000,5.189469,0
1998-07-02,9.900000,9.900000,9.900000,9.900000,5.179005,0
1998-07-06,9.910000,9.910000,9.910000,9.910000,5.184236,0
1998-07-07,9.860000,9.860000,9.860000,9.860000,5.158080,0
1998-07-08,9.890000,9.890000,9.890000,9.890000,5.173774,0
1998-07-09,9.890000,9.890000,9.890000,9.890000,5.173774,0
1998-07-10,9.850000,9.850000,9.850000,9.850000,5.152848,0
1998-07-13,9.850000,9.850000,9.850000,9.850000,5.152848,0
1998-07-14,9.850000,9.850000,9.850000,9.850000,5.152848,0
1998-07-15,9.880000,9.880000,9.880000,9.880000,5.168542,0
1998-07-16,9.860000,9.860000,9.860000,9.860000,5.158080,0
1998-07-17,9.830000,9.830000,9.830000,9.830000,5.142385,0
1998-07-20,9.780000,9.780000,9.780000,9.780000,5.116229,0
1998-07-21,9.660000,9.660000,9.660000,9.660000,5.053456,0
1998-07-22,9.530000,9.530000,9.530000,9.530000,4.985446,0
1998-07-23,9.310000,9.310000,9.310000,9.310000,4.870358,0
1998-07-24,9.250000,9.250000,9.250000,9.250000,4.838970,0
1998-07-27,9.160000,9.160000,9.160000,9.160000,4.791887,0
1998-07-28,9.050000,9.050000,9.050000,9.050000,4.734342,0
1998-07-29,9.070000,9.070000,9.070000,9.070000,4.744807,0
1998-07-30,9.110000,9.110000,9.110000,9.110000,4.765730,0
1998-07-31,8.940000,8.940000,8.940000,8.940000,4.676798,0
1998-08-03,8.820000,8.820000,8.820000,8.820000,4.614024,0
1998-08-04,8.560000,8.560000,8.560000,8.560000,4.478007,0
1998-08-05,8.550000,8.550000,8.550000,8.550000,4.472778,0
1998-08-06,8.750000,8.750000,8.750000,8.750000,4.577403,0
1998-08-07,8.940000,8.940000,8.940000,8.940000,4.676798,0
1998-08-10,8.830000,8.830000,8.830000,8.830000,4.619255,0
1998-08-11,8.610000,8.610000,8.610000,8.610000,4.504163,0
1998-08-12,8.800000,8.800000,8.800000,8.800000,4.603559,0
1998-08-13,8.680000,8.680000,8.680000,8.680000,4.540785,0
