Date,Open,High,Low,Close,Adj Close,Volume
1986-12-11,10.000000,10.000000,10.000000,10.000000,1.518283,0
1986-12-12,10.000000,10.000000,10.000000,10.000000,1.518283,0
1986-12-15,9.970000,9.970000,9.970000,9.970000,1.513729,0
1986-12-16,10.000000,10.000000,10.000000,10.000000,1.518283,0
1986-12-17,10.000000,10.000000,10.000000,10.000000,1.518283,0
1986-12-18,10.000000,10.000000,10.000000,10.000000,1.518283,0
1986-12-19,10.000000,10.000000,10.000000,10.000000,1.518283,0
1986-12-22,9.990000,9.990000,9.990000,9.990000,1.516765,0
1986-12-23,10.020000,10.020000,10.020000,10.020000,1.521321,0
1986-12-24,10.020000,10.020000,10.020000,10.020000,1.521321,0
1986-12-26,10.020000,10.020000,10.020000,10.020000,1.521321,0
1986-12-29,9.970000,9.970000,9.970000,9.970000,1.513729,0
1986-12-30,9.940000,9.940000,9.940000,9.940000,1.509171,0
1986-12-31,9.940000,9.940000,9.940000,9.940000,1.509171,0
1987-01-02,9.970000,9.970000,9.970000,9.970000,1.513729,0
1987-01-05,10.000000,10.000000,10.000000,10.000000,1.518283,0
1987-01-06,10.000000,10.000000,10.000000,10.000000,1.518283,0
1987-01-07,10.000000,10.000000,10.000000,10.000000,1.518283,0
1987-01-08,10.020000,10.020000,10.020000,10.020000,1.521321,0
1987-01-09,10.020000,10.020000,10.020000,10.020000,1.521321,0
1987-01-12,10.040000,10.040000,10.040000,10.040000,1.524358,0
1987-01-13,10.020000,10.020000,10.020000,10.020000,1.521321,0
1987-01-14,10.010000,10.010000,10.010000,10.010000,1.519803,0
1987-01-15,10.020000,10.020000,10.020000,10.020000,1.531880,0
1987-01-16,10.030000,10.030000,10.030000,10.030000,1.533409,0
1987-01-19,10.030000,10.030000,10.030000,10.030000,1.533409,0
1987-01-20,10.050000,10.050000,10.050000,10.050000,1.536466,0
1987-01-21,10.050000,10.050000,10.050000,10.050000,1.536466,0
