Date,Open,High,Low,Close,Adj Close,Volume
1994-05-04,10.000000,10.000000,10.000000,10.000000,4.941442,0
1994-05-05,10.080000,10.080000,10.080000,10.080000,4.980976,0
1994-05-06,10.100000,10.100000,10.100000,10.100000,4.990858,0
1994-05-09,9.880000,9.880000,9.880000,9.880000,4.882145,0
1994-05-10,10.040000,10.040000,10.040000,10.040000,4.961211,0
1994-05-11,10.090000,10.090000,10.090000,10.090000,4.985918,0
1994-05-12,10.140000,10.140000,10.140000,10.140000,5.010621,0
1994-05-13,10.220000,10.220000,10.220000,10.220000,5.050156,0
1994-05-16,10.250000,10.250000,10.250000,10.250000,5.064981,0
1994-05-17,10.300000,10.300000,10.300000,10.300000,5.089689,0
1994-05-18,10.610000,10.610000,10.610000,10.610000,5.242873,0
1994-05-19,10.770000,10.770000,10.770000,10.770000,5.321937,0
1994-05-20,10.890000,10.890000,10.890000,10.890000,5.381233,0
1994-05-23,10.910000,10.910000,10.910000,10.910000,5.391115,0
1994-05-24,10.930000,10.930000,10.930000,10.930000,5.400998,0
1994-05-25,10.990000,10.990000,10.990000,10.990000,5.430646,0
1994-05-26,11.010000,11.010000,11.010000,11.010000,5.440529,0
1994-05-27,11.020000,11.020000,11.020000,11.020000,5.445473,0
1994-05-31,11.050000,11.050000,11.050000,11.050000,5.460297,0
1994-06-01,11.000000,11.000000,11.000000,11.000000,5.435587,0
1994-06-02,10.860000,10.860000,10.860000,10.860000,5.366407,0
1994-06-03,10.930000,10.930000,10.930000,10.930000,5.400998,0
1994-06-06,11.090000,11.090000,11.090000,11.090000,5.480059,0
1994-06-07,11.040000,11.040000,11.040000,11.040000,5.455352,0
1994-06-08,10.950000,10.950000,10.950000,10.950000,5.410880,0
1994-06-09,10.940000,10.940000,10.940000,10.940000,5.405935,0
1994-06-10,10.990000,10.990000,10.990000,10.990000,5.430646,0
1994-06-13,10.900000,10.900000,10.900000,10.900000,5.386172,0
1994-06-14,10.910000,10.910000,10.910000,10.910000,5.391115,0
1994-06-15,10.920000,10.920000,10.920000,10.920000,5.396058,0
1994-06-16,10.880000,10.880000,10.880000,10.880000,5.376291,0
1994-06-17,10.930000,10.930000,10.930000,10.930000,5.400998,0
1994-06-20,10.830000,10.830000,10.830000,10.830000,5.351582,0
1994-06-21,10.660000,10.660000,10.660000,10.660000,5.267580,0
1994-06-22,10.650000,10.650000,10.650000,10.650000,5.262636,0
1994-06-23,10.560000,10.560000,10.560000,10.560000,5.218164,0
1994-06-24,10.480000,10.480000,10.480000,10.480000,5.178635,0
1994-06-27,10.470000,10.470000,10.470000,10.470000,5.173691,0
1994-06-28,10.500000,10.500000,10.500000,10.500000,5.188517,0
1994-06-29,10.610000,10.610000,10.610000,10.610000,5.242873,0
